case_id,group,expected_class,case_status,stop_time_s,evaluation_start_s,sample_count,evaluation_sample_count,valid_sample_count,valid_fraction,timestamp_valid_fraction,residual_ratio_valid_fraction,rmse_e_rad,rmse_e_deg,rk2_rmse_e_rad,heun_rmse_e_rad,predictor_disagreement_e_rad,predictor_disagreement_e_deg,predictor_floor_e_rad,predictor_floor_e_deg,mean_estimation_error_e_rad,mean_estimation_error_e_deg,mean_estimate_e_rad,mean_truth_error_e_rad,commanded_fixed_error_e_rad,commanded_fixed_error_e_deg,residual_rms_A,mean_residual_ratio,voltage_reconstruction_rms_V,voltage_ab_independent_evaluation,voltage_ab_selected_source,voltage_ab_gate_source,voltage_ab_selected_branch_rmse_e_rad,voltage_ab_selected_branch_rmse_e_deg,voltage_ab_reconstructed_branch_rmse_e_rad,voltage_ab_reconstructed_branch_rmse_e_deg,voltage_ab_plant_evaluation_branch_rmse_e_rad,voltage_ab_plant_evaluation_branch_rmse_e_deg,voltage_ab_pseudo_angle_delta_rms_e_rad,voltage_ab_pseudo_angle_delta_rms_e_deg,voltage_ab_pseudo_angle_delta_mean_e_rad,voltage_ab_pseudo_angle_delta_mean_e_deg,voltage_ab_residual_delta_rms_A,voltage_ab_voltage_delta_rms_V,voltage_ab_branches_numerically_distinct,mean_abs_speed_error_e_radps,mechanical_cycles_evaluated,simulation_elapsed_s
speed_-10radps_m,speed_direction,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.01225015446884,0.701882149447855,0.0118556441916107,0.0118556441916107,0.00464103687671906,0.26591182560058,0.0131549404438551,0.753722567178849,-0.0036928251445008,-0.211583295259684,0.00535088523520955,0.00904710462056916,0,0,0.507469690226799,1.00333582700112,1.64491727494541e-15,1,reconstructed,reconstructed_deployment_only,0.01225015446884,0.701882149447855,0.01225015446884,0.701882149447855,0.01225015446884,0.701882149447855,8.66815199615819e-16,4.96648525557764e-14,5.17718292627495e-18,2.96630731442744e-16,6.48160271537144e-16,1.64491727494541e-15,0,NaN,4.00004914247576,19.39488
speed_-05radps_m,speed_direction,ideal,PASS,6.026555,1,120531,100531,100531,1,1,1,0.022582348617214,1.29387326725945,0.0221645279157404,0.0221645279157404,0.00793436012706129,0.454605348417496,0.0131549404438551,0.753722567178849,-0.00391161425468652,-0.224118987876749,0.0110001263830954,0.0149137536113839,0,0,0.256025792426974,1.0157786693614,1.650316633297e-15,1,reconstructed,reconstructed_deployment_only,0.022582348617214,1.29387326725945,0.022582348617214,1.29387326725945,0.022582348617214,1.29387326725945,1.89867053387159e-15,1.08785808276693e-13,4.21865091769514e-18,2.41710892822923e-16,6.56558103400656e-16,1.650316633297e-15,0,NaN,4.00000537486641,31.9288674
speed_+05radps_m,speed_direction,ideal,PASS,6.026555,1,120531,100531,85577,0.851249863226268,1,0.851249863226268,0.0369395147972159,2.11647829514152,0.0349123676755061,0.0349123676755061,0.0162314983429948,0.929996350227188,0.0131549404438551,0.753722567178849,-0.00498713248457633,-0.285741643238816,-0.0780516040289445,-0.073154642000674,0,0,0.280700077212617,1.02542683418467,1.64438392876014e-15,1,reconstructed,reconstructed_deployment_only,0.0369395147972159,2.11647829514152,0.0369395147972159,2.11647829514152,0.0369395147972159,2.11647829514152,3.17576429652523e-15,1.81957890919229e-13,-1.261531567063e-17,-7.22804345152348e-16,7.83613926043055e-16,1.64438392876014e-15,0,NaN,4.00000537486641,30.4865678
speed_+10radps_m,speed_direction,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780249,0.822439792470259,0.0124015725243852,0.0124015725243852,0.00825192592301046,0.472800528243096,0.0131549404438551,0.753722567178849,-0.00450277433541376,-0.257989965519033,-0.0302364431573569,-0.0257293033440626,0,0,0.514816358188451,1.00428570639228,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0143542822780249,0.822439792470259,0.0143542822780249,0.822439792470259,0.0143542822780249,0.82243979247026,9.83991976721239e-16,5.63785873408621e-14,-3.49857412765338e-18,-2.00453531828202e-16,7.76452685480134e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.8039284
speed_+20radps_m,speed_direction,ideal,PASS,3.000005,1,60000,40000,40000,1,1,1,0.00833840737465059,0.47775555042824,0.00566184338156627,0.00566184338156626,0.006277237359043,0.359659207675011,0.0131549404438551,0.753722567178849,-0.00487911376639679,-0.279552626578715,-0.0103231511166648,-0.00543932437994015,0,0,1.03315317329343,1.0012995157261,1.62411254489856e-15,1,reconstructed,reconstructed_deployment_only,0.00833840737465059,0.47775555042824,0.00833840737465059,0.47775555042824,0.00833840737465058,0.477755550428239,4.65023113020966e-16,2.66438617521364e-14,-5.15143483426073e-18,-2.95155474439814e-16,7.71546331286338e-16,1.62411254489856e-15,0,NaN,6.36621363917012,15.9832361
load_0Nm,load,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0104818761001658,0.60056726191855,0.0106793330651607,0.0106793330651607,0.0021154354630855,0.121205523867102,0.0131549404438551,0.753722567178849,-0.000382742330345971,-0.0219295201698261,-0.00135253428709778,-0.000968330353789608,0,0,0.513155253733065,1.00326652068928,1.64362449133701e-15,1,reconstructed,reconstructed_deployment_only,0.0104818761001658,0.60056726191855,0.0104818761001658,0.60056726191855,0.0104818761001658,0.60056726191855,7.64914078635801e-16,4.38263483959694e-14,-1.18386094218574e-18,-6.7830235517624e-17,5.42134513132701e-16,1.64362449133701e-15,0,NaN,4.00004914247576,18.0559257
load_1Nm,load,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780249,0.822439792470259,0.0124015725243852,0.0124015725243852,0.00825192592301046,0.472800528243096,0.0131549404438551,0.753722567178849,-0.00450277433541376,-0.257989965519033,-0.0302364431573569,-0.0257293033440626,0,0,0.514816358188451,1.00428570639228,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0143542822780249,0.822439792470259,0.0143542822780249,0.822439792470259,0.0143542822780249,0.82243979247026,9.83991976721239e-16,5.63785873408621e-14,-3.49857412765338e-18,-2.00453531828202e-16,7.76452685480134e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.8255555
load_2Nm,load,ideal,PASS,3.513305,1,70266,50266,37385,0.74374328571997,1,0.74374328571997,0.0208114532632505,1.19240843751802,0.014116527116373,0.014116527116373,0.0162594816913904,0.931599677986905,0.0131549404438551,0.753722567178849,-0.00902735765439672,-0.51722949375205,-0.074242885353605,-0.0652058728671222,0,0,0.610798580205105,1.01049215670509,1.63897710486533e-15,1,reconstructed,reconstructed_deployment_only,0.0208114532632505,1.19240843751802,0.0208114532632505,1.19240843751802,0.0208114532632505,1.19240843751802,1.44844879285686e-15,8.29900026715171e-14,-4.73964410138224e-18,-2.71561603403278e-16,1.0803237632576e-15,1.63897710486533e-15,0,NaN,4.00004914247576,18.6703707
mismatch_Rs_-10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0225546431618008,1.29228586159479,0.0226727688270891,0.0226727688270891,0.00678250017110331,0.388608634350978,0.0131549404438551,0.753722567178849,0.00129590673094742,0.0742499863258829,-0.0245488488105993,-0.0257293033440626,0,0,0.556641097380967,1.09322138991277,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0225546431618008,1.29228586159479,0.0225546431618008,1.29228586159479,0.0225546431618008,1.29228586159479,8.93386714469253e-16,5.11872882121474e-14,-2.32354796861828e-18,-1.33129492098023e-16,7.78865465124977e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.8549395
mismatch_Rs_+10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0310949102660488,1.78160712258261,0.0282998573482555,0.0282998573482555,0.0100161037481924,0.57388047193659,0.0131549404438551,0.753722567178849,-0.0121978400361368,-0.69888475324634,-0.0377358307567928,-0.0257293033440626,0,0,0.473252185665025,0.915850315891496,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0310949102660488,1.78160712258261,0.0310949102660488,1.78160712258261,0.0310949102660488,1.78160712258261,1.10327925751495e-15,6.32132450799335e-14,-2.14685230560548e-18,-1.23005576349124e-16,7.72474481004361e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.6816877
